"Rest ID","Venue","Region","Suburb","Postcode","Start Balance","Change","Current (11/04/26)","Portfolio Start Date","AM Name"
"5C7B745D-00D3-4CFF-ADEB-5A24F3071EB6","Two Fat Buns - Essendon","Melbourne","Essendon","3040","706.25","0.00","706.25","1/04/26","Tom Mcgay"
"B86310CE-7EB6-4CF2-AE78-8DD2387AA615","Le Feu Oasis Restaurant","Melbourne","Clayton","3171","693.75","0.00","693.75","1/04/26","Tania Marinopoulos"
"C103C132-39CF-4DE2-9A47-E6611D7A8D9A","Kricket Local","Perth","Freemantle","6160","685","0.00","685","1/04/26","Libby Egan"
"2832F190-2ACE-4D1B-9DDC-6EC4FE88D5A1","Zen Zen Sushi","Sydney","Darlinghurst","2010","675","0.00","675","1/04/26","Jordan Wellard"
"ADA8F11B-F340-4A7C-8080-C28B1DA44E79","Mexicana @ Rose","Melbourne","Yarraville","3016","653.75","0.00","653.75","1/04/26","Tom Mcgay"
"D28E31E4-6ED2-49BB-81AA-62886718AE37","Burger Shack at Curtin House Rooftop","Melbourne","Melbourne City","3000","649.5","0.00","649.5","1/04/26","Jay Franklin"
"BF2B1FB4-369A-4EBE-8178-CC6C41039665","Cozy Pizza - Footscray","Melbourne","Yarraville","3011","637.5","0.00","637.5","1/04/26","Tom Mcgay"
"9D3D2344-6814-4F20-B9C4-B813B8DD81B6","Bombay Bliss - Narangba","Brisbane","Narangba","4504","637.5","0.00","637.5","1/04/26","Jessie Helyar"
"A942BB25-0129-4E5E-A9AF-14BF71783EAB","El Toro Pizza & Restaurant","Melbourne","Geelong","3220","637.5","0.00","637.5","1/04/26","Jay Franklin"
"A5BB69AE-ADDA-49CB-8B65-06B4041318FA","Amici Miei Non Solo Pizza","Perth","East Victoria Park","6101","637.5","0.00","637.5","1/04/26","Jai Richards"
"D044BB4F-4E43-4439-870A-DF0773A137EE","Le Feu - Brighton Cuisine GF","Melbourne","Brighton","3186","618.75","0.00","618.75","1/04/26","Tania Marinopoulos"
"E619A417-9137-4122-B2A3-9AA163CDF611","Ombra Italian - Chermside","Brisbane","Outer Brisbane","4032","610","0.00","610","1/04/26","Mark Savaille"
"F9A750EA-B1A6-40CD-BB05-420F238AE479","Nonno's Pizzeria","Melbourne","Yarraville","3016","606.25","0.00","606.25","1/04/26","Tom Mcgay"
"C99FB41E-E8B2-4D58-9D16-CE63BBB34205","Cafe Paparazzi","Adelaide","Greater Adelaide","5061","571.5","0.00","571.5","1/04/26","Gabriella Szabo"
"343C2494-02A0-443A-BB25-891DFFC678AA","The Original Pancake Kitchen - Golden Grove","Adelaide","Northern Suburbs","5125","568.125","0.00","568.125","3/04/26","Aaron Pantazis"
"052E4EF8-0044-42CE-AB02-8EA3DCFDF3D7","Kurryosity","Sydney","Zetland","2033","562.5","0.00","562.5","1/04/26","Brianna Quinn"
"AD0B336E-AA12-4036-B421-D5C11E4179E1","Momo Centre - Mount Pleasant","Perth","Freemantle","6153","562.5","0.00","562.5","1/04/26","Libby Egan"
"3841657E-3E1F-4381-B5C4-D372F6B3B2D5","SÚPERCHIDO","Melbourne","Yarraville","3011","562.5","0.00","562.5","1/04/26","Tom Mcgay"
"722399DB-9C1A-443E-AD3E-D2CD24118B93","Wonky Trolley","Melbourne","Essendon","3051","550.125","0.00","550.125","1/04/26","Jay Franklin"
"50A0CA0A-54C1-4F8A-A3CF-8176937A2D5E","Peters by The Sea","Perth","Scarborough","6019","547.5","0.00","547.5","1/04/26","Libby Egan"
"577131E6-EEB7-4C7C-9B35-102D212A7B65","Dolci Cafe","Adelaide","Greater Adelaide","5062","535.25","0.00","535.25","27/04/26","Gabriella Szabo"
"F7C69B24-365A-4D60-9D59-DF778D0ACEB0","Jaggi's Indian Eatery - Seven Hills","Sydney","Seven Hills","2147","492.5","41.56","534.062","1/04/26","Sam Pundol"
"B0E2D7CA-B98F-4909-8425-A18DF6BB5C03","Grilled & Co.","Perth","Perth City","6003","530","0.00","530","1/04/26","Jai Richards"
"61048AA6-90A7-ED7B-FF71-F8D2A11F2900","Old Man Pho Docklands","Melbourne","Melbourne City","3008","504.688","0.00","504.688","1/04/26","Jay Franklin"
"63C24D16-1763-44E7-B924-32101914B5DF","Hanson Pizza Bar","Adelaide","North Adelaide","5012","503.75","0.00","503.75","1/04/26","Gabriella Szabo"
